iso,year,GHG_self
AFG,2010,29.34482395742619
AFG,2011,33.60129911973728
AFG,2012,31.727755833091063
AFG,2013,30.116828343697076
AFG,2014,30.145337977863285
AFG,2015,29.6224536752759
AFG,2016,28.600054961137968
AFG,2017,29.026339696657203
AFG,2018,29.188761605719414
AFG,2019,29.613579648276804
AFG,2020,30.487554672064576
AFG,2021,30.80793134582012
AFG,2022,30.42644926906576
AFG,2023,30.044967192311404
AFG,2024,29.663486087520575
AFG,2025,29.282004010766215
AFG,2026,29.87795178362184
AFG,2027,30.473900528440993
AFG,2028,31.06984830129662
AFG,2029,31.66579704611577
AFG,2030,32.2617448189714
AGO,2010,32.814988192396555
AGO,2011,32.82514727689329
AGO,2012,33.18383108502187
AGO,2013,33.6146697267979
AGO,2014,36.891945821723844
AGO,2015,35.12977946956908
AGO,2016,35.17190695297734
AGO,2017,35.25270905180902
AGO,2018,32.0681520772762
AGO,2019,32.39691879591857
AGO,2020,29.43836387746129
AGO,2021,29.609064259088896
AGO,2022,30.115960833905234
AGO,2023,30.622857080564568
AGO,2024,31.12975365538091
AGO,2025,31.636649902040247
AGO,2026,31.75090662284973
AGO,2027,31.865163343659212
AGO,2028,31.97941973631169
AGO,2029,32.09367645712117
AGO,2030,32.207933177930656
ALB,2010,8.074683758889893
ALB,2011,8.555347175521485
ALB,2012,8.21234222471707
ALB,2013,8.592673931305528
ALB,2014,9.34345304676893
ALB,2015,8.298452313708689
ALB,2016,8.22386901700612
ALB,2017,9.079017641677526
ALB,2018,8.605903656282203
ALB,2019,8.416963452349266
ALB,2020,7.931496094602529
ALB,2021,7.117073869520056
ALB,2022,7.455370869152053
ALB,2023,7.793668757579817
ALB,2024,8.13196664600758
ALB,2025,8.470264534435342
ALB,2026,8.80856153406734
ALB,2027,9.146859422495105
ALB,2028,9.485157310922867
ALB,2029,9.823455199350631
ALB,2030,10.161753087778393
ALB,2031,9.709502694193786
ALB,2032,9.257252300609181
ALB,2033,8.805001907024574
ALB,2034,8.352751513439966
ALB,2035,7.9005011198553605
ALB,2036,7.448250726270753
ALB,2037,6.996000332686146
ALB,2038,6.5437508278973056
ALB,2039,6.091500434312699
ALB,2040,5.639250040728092
ALB,2041,5.186999647143485
ALB,2042,4.734749253558878
ALB,2043,4.282498859974272
ALB,2044,3.8302484663896643
ALB,2045,3.377998072805058
ALB,2046,2.9257485680162167
ALB,2047,2.47349817443161
ALB,2048,2.0212477808470033
ALB,2049,1.5689973872623966
ALB,2050,1.1167469936777896
AND,2010,0.13733537871308982
AND,2011,0.13146109587847013
AND,2012,0.1299148202396694
AND,2013,0.12593789240902728
AND,2014,0.12252345477867943
AND,2015,0.12250742724244308
AND,2016,0.12297508785333902
AND,2017,0.12221492470612996
AND,2018,0.11880086868378774
AND,2019,0.11688920337959911
AND,2020,0.10365580096046492
AND,2021,0.11407389031808568
AND,2022,0.10935397170048776
AND,2023,0.10463424388689263
AND,2024,0.09991451607329749
AND,2025,0.09519478825970239
AND,2026,0.09047486964210444
AND,2027,0.08575514182850932
AND,2028,0.0810354140149142
AND,2029,0.07631568620131907
AND,2030,0.07159595838772395
AND,2031,0.06975384114256085
AND,2032,0.06791181929939917
AND,2033,0.06606979745623749
AND,2034,0.06422777561307581
AND,2035,0.062385753769914135
AND,2036,0.06054373192675245
AND,2037,0.05870171008359077
AND,2038,0.056859688240429085
AND,2039,0.055017666397267406
AND,2040,0.053175644554105735
AND,2041,0.05133362271094405
AND,2042,0.04949160086778237
AND,2043,0.0476495790246207
AND,2044,0.04580755718145901
AND,2045,0.04396553533829732
AND,2046,0.042123513495135635
AND,2047,0.040281491651973964
AND,2048,0.038439469808812285
AND,2049,0.0365974479656506
AND,2050,0.03475542612248892
ARE,2010,153.33483300319935
ARE,2011,165.49649387011493
ARE,2012,203.19008333631874
ARE,2013,208.74602603546617
ARE,2014,204.9429366253589
ARE,2015,225.52906442370713
ARE,2016,217.08236052816926
ARE,2017,184.43300998431
ARE,2018,180.710858635008
ARE,2019,182.09196973137898
ARE,2020,172.30811098966004
ARE,2021,176.195691138202
ARE,2022,174.69686065842996
ARE,2023,173.1980301786579
ARE,2024,171.69919895079622
ARE,2025,170.20036847102418
ARE,2026,168.70153799125214
ARE,2027,167.2027067633905
ARE,2028,165.70387628361843
ARE,2029,164.2050458038464
ARE,2030,162.70621457598472
ARG,2010,319.1711735121471
ARG,2011,322.3870697090262
ARG,2012,326.7755709535762
ARG,2013,329.49271249002305
ARG,2014,332.2975887323841
ARG,2015,334.25639703044504
ARG,2016,337.11772091313316
ARG,2017,341.24799255615693
ARG,2018,339.0019635894991
ARG,2019,332.38040457729795
ARG,2020,326.5871815808767
ARG,2021,347.5447671625852
ARG,2022,340.2975878666503
ARG,2023,333.05040857071543
ARG,2024,325.80322927478056
ARG,2025,318.55604997884564
ARG,2026,311.3088706829108
ARG,2027,304.0616922703921
ARG,2028,296.8145129744572
ARG,2029,289.5673336785223
ARG,2030,282.3201543825874
ARG,2031,270.34831147830977
ARG,2032,258.37646901574016
ARG,2033,246.40462611146248
ARG,2034,234.43278364889284
ARG,2035,222.46094074461521
ARG,2036,210.48909784033756
ARG,2037,198.51725537776795
ARG,2038,186.5454124734903
ARG,2039,174.57357001092066
ARG,2040,162.60172710664298
ARG,2041,150.6298842023653
ARG,2042,138.6580417397957
ARG,2043,126.68619883551803
ARG,2044,114.71435637294843
ARG,2045,102.74251346867074
ARG,2046,90.77067056439307
ARG,2047,78.79882810182346
ARG,2048,66.8269851975458
ARG,2049,54.85514273497619
ARG,2050,42.88329983069851
ARM,2010,7.233152920451797
ARM,2011,7.975476266956319
ARM,2012,8.997370893425776
ARM,2013,8.878110703749979
ARM,2014,8.953273802839115
ARM,2015,8.688898328048232
ARM,2016,9.321771603381622
ARM,2017,9.350546557872358
ARM,2018,10.576898757758496
ARM,2019,10.200486752395998
ARM,2020,10.031160573539104
ARM,2021,10.602449899100039
ARM,2022,11.070884007554316
ARM,2023,11.539318116008593
ARM,2024,12.007753174319424
ARM,2025,12.476187282773699
ARM,2026,12.883470576044806
ARM,2027,13.29075386931591
ARM,2028,13.698037162587017
ARM,2029,14.105320455858122
ARM,2030,14.512603749129228
ARM,2031,14.0382586833304
ARM,2032,13.563913617531574
ARM,2033,13.08956760187619
ARM,2034,12.615222536077363
ARM,2035,12.140877470278536
ARM,2036,11.666531454623154
ARM,2037,11.192186388824325
ARM,2038,10.717841323025498
ARM,2039,10.243495307370114
ARM,2040,9.769150241571289
ARM,2041,9.29480517577246
ARM,2042,8.820459160117078
ARM,2043,8.346114094318251
ARM,2044,7.871769028519424
ARM,2045,7.397423012864041
ARM,2046,6.923077947065214
ARM,2047,6.448732881266387
ARM,2048,5.974386865611003
ARM,2049,5.500041799812176
ARM,2050,5.025696734013349
ATG,2010,0.20929939924439023
ATG,2011,0.20643710628028264
ATG,2012,0.21283666290747794
ATG,2013,0.21477478241453832
ATG,2014,0.2154069155691571
ATG,2015,0.22255966797634014
ATG,2016,0.2276845282834969
ATG,2017,0.22586151139563346
ATG,2018,0.23209158034731223
ATG,2019,0.23862151210952026
ATG,2020,0.21477217491183806
ATG,2021,0.2365008674134421
ATG,2022,0.242642653773698
ATG,2023,0.2487844401339539
ATG,2024,0.2549262264942098
ATG,2025,0.26106764035408
ATG,2026,0.26720942671433584
ATG,2027,0.27335121307459176
ATG,2028,0.2794929994348477
ATG,2029,0.2856347857951036
ATG,2030,0.29177619965497376
AUS,2010,535.1083917149366
AUS,2011,624.8945234244773
