actor_uid,baseline_year,baseline_value,name,entity_type,iso,target_id_update,target_type,target_year,target_value,target_unit,Datasource_targets,baseline_unit,Datasource_baseline,total_emissions,emiss_year,Datasource_inventory,population,population_year,epc,country,region,target_term,climactor_id,GDAM_id
JP Niigata Prefecture Region,2013,29400000,Niigata Prefecture,Region,JPN,JP Niigata Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,26590000,2018,NZT,2201272,2020,12.079379558727863,Japan,East Asia and the Pacific,Long-term targets (>15 years),93749536_cbedf70d,JPN.29_1
JP Oita Prefecture Region,2013,33301000,Oita Prefecture,Region,JPN,JP Oita Prefecture Region:2013:2025:28,Absolute emission reduction,2025,28,percent,Japanese data,tCO2e,NZT,40054000,2018,NZT,1123852,2020,35.639924118122316,Japan,East Asia and the Pacific,Short-term targets (within 5 years),bd49a0f9_27f982a2,JPN.30_1
JP Oita Prefecture Region,2013,33301000,Oita Prefecture,Region,JPN,JP Oita Prefecture Region:2013:2030:35,Absolute emission reduction,2030,35,percent,NZT,tCO2e,NZT,40054000,2018,NZT,1123852,2020,35.639924118122316,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),bd49a0f9_27f982a2,JPN.30_1
JP Oita Prefecture Region,2013,33301000,Oita Prefecture,Region,JPN,JP Oita Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,40054000,2018,NZT,1123852,2020,35.639924118122316,Japan,East Asia and the Pacific,Long-term targets (>15 years),bd49a0f9_27f982a2,JPN.30_1
JP Okayama Prefecture Region,2013,53150000,Okayama Prefecture,Region,JPN,JP Okayama Prefecture Region:2013:2030:18,Absolute emission reduction,2030,18,percent,NZT,tCO2e,JPMOE,45580000,2018,NZT,1888432,2020,24.13642641090598,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),13aebd73_5ea4c7bc,JPN.31_1
JP Okayama Prefecture Region,2013,53150000,Okayama Prefecture,Region,JPN,JP Okayama Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,JPMOE,45580000,2018,NZT,1888432,2020,24.13642641090598,Japan,East Asia and the Pacific,Long-term targets (>15 years),13aebd73_5ea4c7bc,JPN.31_1
JP Okinawa Prefecture Region,2013,12593000,Okinawa Prefecture,Region,JPN,JP Okinawa Prefecture Region:2013:2030:26,Absolute emission reduction,2030,26,percent,NZT,tCO2e,JPMOE,12383000,2018,NZT,1467480,2020,8.43827513833238,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),e6b92fb9_a748f833,JPN.32_1
JP Okinawa Prefecture Region,2013,12593000,Okinawa Prefecture,Region,JPN,JP Okinawa Region:NA:2030:Net zero,Net zero,2030,100,percent,NZT,tCO2e,JPMOE,12383000,2018,NZT,1467480,2020,8.43827513833238,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),e6b92fb9_a748f833,JPN.32_1
JP Osaka Prefecture Region,2013,57980000,Osaka Prefecture,Region,JPN,JP Osaka Prefecture Region:2013:2030:45,Absolute emission reduction,2030,45,percent,Japanese data,tCO2e,JPMOE,53320000,2017,NZT,8837685,2020,6.033254183646509,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),be617c5c_c7e38a79,JPN.33_1
JP Osaka Prefecture Region,2013,57980000,Osaka Prefecture,Region,JPN,JP Osaka Region:NA:2050:Zero emissions,Zero emissions,2050,100,percent,NZT,tCO2e,NZT,53320000,2017,NZT,8837685,2020,6.033254183646509,Japan,East Asia and the Pacific,Long-term targets (>15 years),be617c5c_c7e38a79,JPN.33_1
JP Saga Prefecture Region,2013,7624000,Saga Prefecture,Region,JPN,JP Saga Prefecture Region:2013:2030:27,Absolute emission reduction,2030,27,percent,NZT,tCO2e,JPMOE,5536000,2017,NZT,811442,2020,6.822422304982981,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),ec69d4c9_5600f2c7,JPN.34_1
JP Saga Prefecture Region,2013,7624000,Saga Prefecture,Region,JPN,JP Saga Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,5536000,2017,NZT,811442,2020,6.822422304982981,Japan,East Asia and the Pacific,Long-term targets (>15 years),ec69d4c9_5600f2c7,JPN.34_1
JP Saitama Prefecture Region,2013,49690000,Saitama Prefecture,Region,JPN,JP Saitama Prefecture Region:2013:2030:46,Absolute emission reduction,2030,46,percent,Japanese data,tCO2e,JPMOE,41090000,2019,JPMOE,7344765,2020,5.594460816649682,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),2b735833_bf29201e,JPN.35_1
JP Shiga Prefecture Region,2013,14220000,Shiga Prefecture,Region,JPN,JP Shiga Prefecture Region:2013:2030:50,Absolute emission reduction,2030,50,percent,Japanese data,tCO2e,JPMOE,11280000,2018,NZT,1413610,2020,7.979570036997474,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),9a6edcb1_9d5ae912,JPN.36_1
JP Shiga Prefecture Region,2013,14220000,Shiga Prefecture,Region,JPN,JP Shiga Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,11280000,2018,NZT,1413610,2020,7.979570036997474,Japan,East Asia and the Pacific,Long-term targets (>15 years),9a6edcb1_9d5ae912,JPN.36_1
JP Shimane Prefecture Region,2013,6799000,Shimane Prefecture,Region,JPN,JP Shimane Prefecture Region:2013:2030:22,Absolute emission reduction,2030,22,percent,NZT,tCO2e,JPMOE,6176000,2017,NZT,671126,2020,9.20244484642228,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),e98b386a_dcd898f4,JPN.37_1
JP Shimane Prefecture Region,2013,6799000,Shimane Prefecture,Region,JPN,JP Shimane Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,JPMOE,6176000,2017,NZT,671126,2020,9.20244484642228,Japan,East Asia and the Pacific,Long-term targets (>15 years),e98b386a_dcd898f4,JPN.37_1
JP Shizuoka Prefecture Region,2013,31645000,Shizuoka Prefecture,Region,JPN,JP Shizuoka Prefecture Region:2013:2030:47,Absolute emission reduction,2030,47,percent,Japanese data,tCO2e,JPMOE,5051400,2018,NZT,3633202,2020,1.3903438344468595,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),9aeae63f_2001b7f1,JPN.38_1
JP Shizuoka Prefecture Region,2013,31645000,Shizuoka Prefecture,Region,JPN,JP Shizuoka Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,5051400,2018,NZT,3633202,2020,1.3903438344468595,Japan,East Asia and the Pacific,Long-term targets (>15 years),9aeae63f_2001b7f1,JPN.38_1
JP Tochigi Prefecture Region,2013,17267000,Tochigi Prefecture,Region,JPN,JP Tochigi Prefecture Region:2013:2025:21,Absolute emission reduction,2025,21,percent,Japanese data,tCO2e,NZT,19500000,2017,NZT,1933146,2020,10.08718430992796,Japan,East Asia and the Pacific,Short-term targets (within 5 years),eb7bcd73_72ce492a,JPN.39_1
JP Tochigi Prefecture Region,2013,17267000,Tochigi Prefecture,Region,JPN,JP Tochigi Prefecture Region:2013:2030:26,Absolute emission reduction,2030,26,percent,NZT,tCO2e,NZT,19500000,2017,NZT,1933146,2020,10.08718430992796,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),eb7bcd73_72ce492a,JPN.39_1
JP Tochigi Prefecture Region,2013,17267000,Tochigi Prefecture,Region,JPN,JP Tochigi Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,19500000,2017,NZT,1933146,2020,10.08718430992796,Japan,East Asia and the Pacific,Long-term targets (>15 years),eb7bcd73_72ce492a,JPN.39_1
JP Tokushima Prefecture Region,2013,8875000,Tokushima Prefecture,Region,JPN,JP Tokushima Prefecture Region:2013:2023:40,Absolute emission reduction,2023,40,percent,Japanese data,tCO2e,JPMOE,7536000,2017,NZT,719559,2020,10.473081429041954,Japan,East Asia and the Pacific,Short-term targets (within 5 years),a30ead93_048d2674,JPN.40_1
JP Tokushima Prefecture Region,2013,8875000,Tokushima Prefecture,Region,JPN,JP Tokushima Prefecture Region:2013:2030:50,Absolute emission reduction,2030,50,percent,NZT,tCO2e,JPMOE,7536000,2017,NZT,719559,2020,10.473081429041954,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),a30ead93_048d2674,JPN.40_1
JP Tokushima Prefecture Region,2013,8875000,Tokushima Prefecture,Region,JPN,JP Tokushima Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,7536000,2017,NZT,719559,2020,10.473081429041954,Japan,East Asia and the Pacific,Long-term targets (>15 years),a30ead93_048d2674,JPN.40_1
JP Tokyo Prefecture Region,2000,62200000,Tokyo Prefecture,Region,JPN,JP Tokyo Prefecture Region:2000:2030:30,Absolute emission reduction,2030,30,percent,NZT,tCO2e,JPMOE,64850000,2017,NZT,13832749,2017,4.688149839196822,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),c28c2d30_ff4ce1ef,JPN.41_1
JP Tokyo Prefecture Region,2000,62200000,Tokyo Prefecture,Region,JPN,JP Tokyo Government Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,JPMOE,64850000,2017,NZT,13832749,2017,4.688149839196822,Japan,East Asia and the Pacific,Long-term targets (>15 years),c28c2d30_ff4ce1ef,JPN.41_1
JP Tottori Prefecture Region,2013,5268000,Tottori Prefecture,Region,JPN,JP Tottori Prefecture Region:2013:2030:60,Absolute emission reduction,2030,60,percent,Japanese data,tCO2e,JPMOE,5471200,2019,NZT,553407,2020,9.88639464264095,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),f2518d36_db5ae9c8,JPN.42_1
JP Tottori Prefecture Region,2013,5268000,Tottori Prefecture,Region,JPN,JP Tottori Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,5471200,2019,NZT,553407,2020,9.88639464264095,Japan,East Asia and the Pacific,Long-term targets (>15 years),f2518d36_db5ae9c8,JPN.42_1
JP Toyama Prefecture Region,2014,12246000,Toyama Prefecture,Region,JPN,JP Toyama Prefecture Region:2014:2030:42,Absolute emission reduction,2030,42,percent,Japanese data,tCO2e,JPMOE,3700425,2016,NZT,1034814,2020,3.575932486417849,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),922d5acf_d143885c,JPN.43_1
JP Toyama Prefecture Region,2014,12246000,Toyama Prefecture,Region,JPN,JP Toyama Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,3700425,2016,NZT,1034814,2020,3.575932486417849,Japan,East Asia and the Pacific,Long-term targets (>15 years),922d5acf_d143885c,JPN.43_1
JP Wakayama Prefecture Region,2013,19400000,Wakayama Prefecture,Region,JPN,JP Wakayama Prefecture Region:2013:2025:24,Absolute emission reduction,2025,24,percent,Japanese data,tCO2e,JPMOE,16305000,2018,NZT,922584,2020,17.67318748211545,Japan,East Asia and the Pacific,Short-term targets (within 5 years),450aaa0c_3834c322,JPN.44_1
JP Wakayama Prefecture Region,2013,19400000,Wakayama Prefecture,Region,JPN,JP Wakayama Prefecture Region:2013:2030:30,Absolute emission reduction,2030,30,percent,Japanese data,tCO2e,JPMOE,16305000,2018,NZT,922584,2020,17.67318748211545,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),450aaa0c_3834c322,JPN.44_1
JP Wakayama Prefecture Region,2013,19400000,Wakayama Prefecture,Region,JPN,JP Wakayama Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,16305000,2018,NZT,922584,2020,17.67318748211545,Japan,East Asia and the Pacific,Long-term targets (>15 years),450aaa0c_3834c322,JPN.44_1
JP Yamagata Prefecture Region,2013,10120000,Yamagata Prefecture,Region,JPN,JP Yamagata Prefecture Region:2013:2030:50,Absolute emission reduction,2030,50,percent,Japanese data,tCO2e,JPMOE,9449000,2017,NZT,1068027,2020,8.847154613132439,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),ba3a9fec_36820eea,JPN.45_1
JP Yamagata Prefecture Region,2013,10120000,Yamagata Prefecture,Region,JPN,JP Yamagata Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,9449000,2017,NZT,1068027,2020,8.847154613132439,Japan,East Asia and the Pacific,Long-term targets (>15 years),ba3a9fec_36820eea,JPN.45_1
JP Yamaguchi Prefecture Region,2013,43320000,Yamaguchi Prefecture,Region,JPN,JP Yamaguchi Prefecture Region:2013:2030:55,Absolute emission reduction,2030,55,percent,Japanese data,tCO2e,JPMOE,2070935,2008,NZT,1342059,2020,1.5431027995043436,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),a5c0fc8e_4a17f415,JPN.46_1
JP Yamanashi Prefecture Region,2013,8029000,Yamanashi Prefecture,Region,JPN,JP Yamanashi Prefecture Region:2013:2030:26,Absolute emission reduction,2030,26,percent,NZT,tCO2e,JPMOE,6589000,2018,NZT,809974,2020,8.134829019203085,Japan,East Asia and the Pacific,Medium-term targets (6-15 years),b270033c_c0cc77bb,JPN.47_1
JP Yamanashi Prefecture Region,2013,8029000,Yamanashi Prefecture,Region,JPN,JP Yamanashi Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,6589000,2018,NZT,809974,2020,8.134829019203085,Japan,East Asia and the Pacific,Long-term targets (>15 years),b270033c_c0cc77bb,JPN.47_1
KR Gangwon-do Region,NA,NA,Gangwon-do,Region,KOR,KR Gangwon-do Region:NA:2050:Carbon neutral(ity),Carbon neutral(ity),2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,1521763,NA,NA,South Korea,East Asia and the Pacific,Long-term targets (>15 years),b558281e_e9a5d37e,KOR.6_1
KR Gyeonggi-do Region,NA,NA,Gyeonggi-do,Region,KOR,KR Gyeonggi-do Region:NA:2050:Carbon neutral(ity),Carbon neutral(ity),2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,13511676,NA,NA,South Korea,East Asia and the Pacific,Long-term targets (>15 years),32572966_6d02226b,KOR.8_1
KR North Chungcheong Region,NA,NA,North Chungcheong,Region,KOR,KR North Chungcheong Region:NA:2050:Carbon neutral(ity),Carbon neutral(ity),2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,1588633,NA,NA,South Korea,East Asia and the Pacific,Long-term targets (>15 years),03de4016_fd890cd4,KOR.2_1
KR North Gyeongsang Region,NA,NA,North Gyeongsang,Region,KOR,KR North Gyeongsang Region:NA:2050:Carbon neutral(ity),Carbon neutral(ity),2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,2739179,NA,NA,South Korea,East Asia and the Pacific,Long-term targets (>15 years),184ee807_6d338a9e,KOR.9_1
KR North Jeolla Region,NA,NA,North Jeolla,Region,KOR,KR North Jeolla Region:NA:2050:Carbon neutral(ity),Carbon neutral(ity),2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,1895882,NA,NA,South Korea,East Asia and the Pacific,Long-term targets (>15 years),c996c462_ba0219ce,KOR.13_1
KR South Chungcheong Region,NA,NA,South Chungcheong,Region,KOR,KR South Chungcheong Region:NA:2050:Carbon neutral(ity),Carbon neutral(ity),2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,2059871,NA,NA,South Korea,East Asia and the Pacific,Long-term targets (>15 years),15e5ca99_ab1cb711,KOR.3_1
KR South Gyeongsang Region,NA,NA,South Gyeongsang,Region,KOR,KR South Gyeongsang Region:NA:2050:Carbon neutral(ity),Carbon neutral(ity),2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,3447687,NA,NA,South Korea,East Asia and the Pacific,Long-term targets (>15 years),0e756288_1e027f24,KOR.10_1
KR South Jeolla Region,NA,NA,South Jeolla,Region,KOR,KR South Jeolla Region:NA:2050:Carbon neutral(ity),Carbon neutral(ity),2050,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,1938136,NA,NA,South Korea,East Asia and the Pacific,Long-term targets (>15 years),dfad4eed_023eff80,KOR.14_1
MX Jalisco Region,2010,27745174,Jalisco,Region,MEX,MX Jalisco Region:2010:2030:45,Absolute emission reduction,2030,45,percent,NZT,tCO2e,NZT,38882000,2019,CDP states regions,8110943,2017,4.79377058869727,Mexico,Latin America and Caribbean,Medium-term targets (6-15 years),4dd79356_09d6d06f,MEX.14_1
MX Jalisco Region,2019,38882000,Jalisco,Region,MEX,MX Jalisco Region:2019:2050:100,Absolute emission reduction,2050,100,percent,CDP states regions,tCO2e,CDP states regions,38882000,2019,CDP states regions,8110943,2017,4.79377058869727,Mexico,Latin America and Caribbean,Long-term targets (>15 years),4dd79356_09d6d06f,MEX.14_1
MX Mexico State Region,2010,46756790,Mexico State,Region,MEX,MX Mexico State Region:2010:2050:50,Absolute emission reduction,2050,50,percent,CDP states regions,tCO2e,CDP states regions,45791915.1,2018,CDP cities emissions,16992418,2018,2.6948439651143232,Mexico,Latin America and Caribbean,Long-term targets (>15 years),1d299778_92ff0e8a,MEX.15_1
MX Nuevo León Region,2019,36000000,Nuevo León,Region,MEX,MX Nuevo León Region:2019:2027:30,Absolute emission reduction,2027,30,percent,CDP states regions,tCO2e,CDP states regions,36000000,2019,CDP states regions,5784442,2020,6.223590797522043,Mexico,Latin America and Caribbean,Short-term targets (within 5 years),a7ba9aa0_4d77301e,MEX.19_1
MX Quintana Roo Region,2015,104000000,Quintana Roo,Region,MEX,MX Quintana Roo Region:2016:2030:21,Absolute emission reduction,2030,21,percent,NZT,tCO2e,https://www.theclimategroup.org/media/15446/download,104000000,2015,https://www.theclimategroup.org/media/15446/download,1325000,2010,78.49056603773585,Mexico,Latin America and Caribbean,Medium-term targets (6-15 years),707d2007_996edcd5,MEX.23_1
MX Quintana Roo Region,2015,104000000,Quintana Roo,Region,MEX,MX Quintana Roo Region:2016:2050:63,Absolute emission reduction,2050,63,percent,NZT,tCO2e,https://www.theclimategroup.org/media/15446/download,104000000,2015,https://www.theclimategroup.org/media/15446/download,1325000,2010,78.49056603773585,Mexico,Latin America and Caribbean,Long-term targets (>15 years),707d2007_996edcd5,MEX.23_1
MX Yucatan Region,2005,10130190,Yucatan,Region,MEX,MX Yucatan Region:2005:2030:40,Absolute emission reduction,2030,40,percent,CDP states regions,tCO2e,CDP states regions,3229065,2018,CDP states regions,2208236,2018,1.4622825640013115,Mexico,Latin America and Caribbean,Medium-term targets (6-15 years),4b185af3_402e24f3,MEX.31_1
PL Greater Poland Region,NA,NA,Greater Poland,Region,POL,PL Greater Poland Region:NA:2040:Climate neutral,Climate neutral,2040,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,3498733,NA,NA,Poland,Europe,Long-term targets (>15 years),6320ccaa_7be588d3,POL.15_1
PL Lesser Poland Voivodeship Region,2018,24,Lesser Poland Voivodeship,Region,POL,PL Lesser Poland Voivodeship Region:2018:2030:40,Absolute emission reduction,2030,40,percent,CDP states regions,tCO2e,CDP states regions,15000000,2018,https://webgate.ec.europa.eu/life/publicWebsite/project/LIFE19-IPC-PL-000005/implementation-of-the-regional-action-plan-for-climate-and-energy-for-the-malopolska-region,3361000,2019,4.462957453138947,Poland,Europe,Medium-term targets (6-15 years),29099c47_e4d88302,POL.6_1
RU Sakhalin Oblast Region,NA,NA,Sakhalin Oblast,Region,RUS,RU Sakhalin Oblast Region:NA:2025:Net zero,Net zero,2025,100,percent,NZT,tCO2e,NZT,NA,NA,NZT,497973,NA,NA,Russia,Eastern Europe and Central Asia,Short-term targets (within 5 years),2615926c_4f9fe896,RUS.61_1
US California Region,1990,431000000,California,Region,USA,US California Region:1990:2030:40,Absolute emission reduction,2030,40,percent,CDP states regions,tCO2e,CDP states regions,369230932,2020,USEIA,39541786,2020,9.337740384311422,United States of America,North America,Medium-term targets (6-15 years),0d45f748_596aca60,USA.5_1
US California Region,1990,431000000,California,Region,USA,US California Region:1990:2045:85,Absolute emission reduction,2045,85,percent,CDP states regions,tCO2e,CDP states regions,369230932,2020,USEIA,39541786,2020,9.337740384311422,United States of America,North America,Long-term targets (>15 years),0d45f748_596aca60,USA.5_1
US California Region,1990,431000000,California,Region,USA,US California Region:NA:2045:Net zero,Net zero,2045,100,percent,NZT,tCO2e,NZT,369230932,2020,USEIA,39541786,2020,9.337740384311422,United States of America,North America,Long-term targets (>15 years),0d45f748_596aca60,USA.5_1
US Colorado Region,2005,95800000,Colorado,Region,USA,US Colorado Region:2005:2025:26,Absolute emission reduction,2025,26,percent,NZT,tCO2e,NZT,79900000,2020,USEIA,5607154,2017,14.249653210880243,United States of America,North America,Short-term targets (within 5 years),14e1c3a2_d59c4283,USA.6_1
US Colorado Region,2005,95800000,Colorado,Region,USA,US Colorado Region:2005:2030:50,Absolute emission reduction,2030,50,percent,USCA,tCO2e,USCA,79900000,2020,USEIA,5607154,2017,14.249653210880243,United States of America,North America,Medium-term targets (6-15 years),14e1c3a2_d59c4283,USA.6_1
US Colorado Region,2005,95800000,Colorado,Region,USA,US Colorado Region:2005:2050:90,Absolute emission reduction,2050,90,percent,NZT,tCO2e,NZT,79900000,2020,USEIA,5607154,2017,14.249653210880243,United States of America,North America,Long-term targets (>15 years),14e1c3a2_d59c4283,USA.6_1
US Connecticut Region,2001,51357263,Connecticut,Region,USA,US Connecticut Region:2001:2030:45,Absolute emission reduction,2030,45,percent,CDP states regions,tCO2e,CDP states regions,33800000,2020,USEIA,3582000,2018,9.43606923506421,United States of America,North America,Medium-term targets (6-15 years),69c1530c_72426375,USA.7_1
US Connecticut Region,2001,51357263,Connecticut,Region,USA,US Connecticut Region:2001:2050:80,Absolute emission reduction,2050,80,percent,CDP states regions,tCO2e,CDP states regions,33800000,2020,USEIA,3582000,2018,9.43606923506421,United States of America,North America,Long-term targets (>15 years),69c1530c_72426375,USA.7_1
US Delaware Region,2005,19300000,Delaware,Region,USA,US Delaware Region:2005:2025:28,Absolute emission reduction,2025,28,percent,NZT,tCO2e,NZT,12500000,2020,USEIA,961939,2017,12.994586974849756,United States of America,North America,Short-term targets (within 5 years),e18888e4_7f66545b,USA.8_1
US Florida Region,1990,189000000,Florida,Region,USA,US Florida Region:1990:2050:80,Absolute emission reduction,2050,80,percent,NZT,tCO2e,NZT,207600000,2020,USEIA,20984400,2017,9.893063418539487,United States of America,North America,Long-term targets (>15 years),5732a4b6_15c854fc,USA.10_1
US Hawaii Region,1990,14950000,Hawaii,Region,USA,US Hawaii Region:1990:2045:90,Absolute emission reduction,2045,90,percent,USCA,tCO2e,NZT,14900000,2020,USEIA,1420491,2017,10.489330801814305,United States of America,North America,Long-term targets (>15 years),cfd599ed_e1a092b4,USA.12_1
US Hawaii Region,1990,14950000,Hawaii,Region,USA,US Hawaii Region:NA:2045:Climate neutral,Climate neutral,2045,100,percent,NZT,tCO2e,NZT,14900000,2020,USEIA,1420491,2017,10.489330801814305,United States of America,North America,Long-term targets (>15 years),cfd599ed_e1a092b4,USA.12_1
US Illinois Region,2005,242000000,Illinois,Region,USA,US Illinois Region:2005:2025:26,Absolute emission reduction,2025,26,percent,NZT,tCO2e,NZT,169900000,2020,USEIA,12802023,2017,13.27134000618496,United States of America,North America,Short-term targets (within 5 years),5d82e62b_a7c3187c,USA.14_1
US Illinois Region,2005,242000000,Illinois,Region,USA,US Illinois Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,169900000,2020,USEIA,12802023,2017,13.27134000618496,United States of America,North America,Long-term targets (>15 years),5d82e62b_a7c3187c,USA.14_1
US Louisiana Region,2005,208800000,Louisiana,Region,USA,US Louisiana Region:2005:2025:26,Absolute emission reduction,2025,26,percent,NZT,tCO2e,NZT,183300000,2020,USEIA,4657757,2020,39.35370608642744,United States of America,North America,Short-term targets (within 5 years),38acf7ac_ea653dd4,USA.19_1
US Louisiana Region,2005,208800000,Louisiana,Region,USA,US Louisiana Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,183300000,2020,USEIA,4657757,2020,39.35370608642744,United States of America,North America,Long-term targets (>15 years),38acf7ac_ea653dd4,USA.19_1
US Maine Region,1990,21230000,Maine,Region,USA,US Maine Region:1990:2030:45,Absolute emission reduction,2030,45,percent,NZT,tCO2e,NZT,13500000,2020,USEIA,1344212,2017,10.043058684195648,United States of America,North America,Medium-term targets (6-15 years),2e3e7386_0a6e9fb2,USA.20_1
US Maine Region,1990,21230000,Maine,Region,USA,US Maine Region:NA:2045:Carbon neutral(ity),Carbon neutral(ity),2045,100,percent,NZT,tCO2e,NZT,13500000,2020,USEIA,1344212,2017,10.043058684195648,United States of America,North America,Long-term targets (>15 years),2e3e7386_0a6e9fb2,USA.20_1
US Maryland Region,2006,78200000,Maryland,Region,USA,US Maryland Region:2006:2031:60,Absolute emission reduction,2031,60,percent,USCA,tCO2e,USCA,48100000,2020,USEIA,6052177,2017,7.947553417555369,United States of America,North America,Medium-term targets (6-15 years),2c565391_db520b94,USA.21_1
US Maryland Region,2006,78200000,Maryland,Region,USA,US Maryland Region:NA:2045:Net zero,Net zero,2045,100,percent,NZT,tCO2e,NZT,48100000,2020,USEIA,6052177,2017,7.947553417555369,United States of America,North America,Long-term targets (>15 years),2c565391_db520b94,USA.21_1
US Massachusetts Region,1990,82900000,Massachusetts,Region,USA,US Massachusetts Region:1990:2025:33,Absolute emission reduction,2025,33,percent,USCA,tCO2e,USCA,52300000,2020,USEIA,6859819,NA,7.624107866402889,United States of America,North America,Short-term targets (within 5 years),93058659_a7f78c46,USA.22_1
US Massachusetts Region,1990,82900000,Massachusetts,Region,USA,US Massachusetts Region:1990:2030:50,Absolute emission reduction,2030,50,percent,USCA,tCO2e,USCA,52300000,2020,USEIA,6859819,NA,7.624107866402889,United States of America,North America,Medium-term targets (6-15 years),93058659_a7f78c46,USA.22_1
US Massachusetts Region,1990,82900000,Massachusetts,Region,USA,US Massachusetts Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,52300000,2020,USEIA,6859819,NA,7.624107866402889,United States of America,North America,Long-term targets (>15 years),93058659_a7f78c46,USA.22_1
US Michigan Region,2005,190100000,Michigan,Region,USA,US Michigan Region:2005:2025:28,Absolute emission reduction,2025,28,percent,USCA,tCO2e,USCA,136800000,2020,USEIA,9962311,2017,13.73175360616628,United States of America,North America,Short-term targets (within 5 years),66f3c548_71a09ae7,USA.23_1
US Michigan Region,2005,190100000,Michigan,Region,USA,US Michigan Region:2005:2030:52,Absolute emission reduction,2030,52,percent,USCA,tCO2e,USCA,136800000,2020,USEIA,9962311,2017,13.73175360616628,United States of America,North America,Medium-term targets (6-15 years),66f3c548_71a09ae7,USA.23_1
US Michigan Region,2005,190100000,Michigan,Region,USA,US Michigan Region:NA:2050:Carbon neutral(ity),Carbon neutral(ity),2050,100,percent,NZT,tCO2e,NZT,136800000,2020,USEIA,9962311,2017,13.73175360616628,United States of America,North America,Long-term targets (>15 years),66f3c548_71a09ae7,USA.23_1
US Minnesota Region,2005,174600000,Minnesota,Region,USA,US Minnesota Region:2005:2025:30,Absolute emission reduction,2025,30,percent,NZT,tCO2e,NZT,78400000,2020,USEIA,5639632,2019,13.901616275671888,United States of America,North America,Short-term targets (within 5 years),0db57edc_e3434818,USA.24_1
US Minnesota Region,2005,174600000,Minnesota,Region,USA,US Minnesota Region:2005:2050:80,Absolute emission reduction,2050,80,percent,NZT,tCO2e,NZT,78400000,2020,USEIA,5639632,2019,13.901616275671888,United States of America,North America,Long-term targets (>15 years),0db57edc_e3434818,USA.24_1
US Montana Region,2005,35900000,Montana,Region,USA,US Montana Region:1990:2050:90,Absolute emission reduction,2050,90,percent,EUCoM2022,tCO2e,"USEIA, MT 2020 climate plan, NZT",26200000,2020,USEIA,1050493,2017,24.940670713655397,United States of America,North America,Long-term targets (>15 years),21edd8b2_2f90d39b,USA.27_1
